[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User		
Date/Time	10/2/2025 8:08:16 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 1:42:08 PM	1	4	NPOC	5.864	0.1907	NPOC:0.08908mg/L TN:-0.03807mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 1:45:53 PM	1	5	NPOC	5.236	0.03815	NPOC:0.08908mg/L TN:-0.03807mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 1:29:45 PM	1	1	TN	0.2667	-0.08352	NPOC:0.08908mg/L TN:-0.03807mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 1:33:32 PM	1	2	TN	0.5974	-0.04576	NPOC:0.08908mg/L TN:-0.03807mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 1:37:22 PM	1	3	TN	0.8540	-0.01647	NPOC:0.08908mg/L TN:-0.03807mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 1:42:08 PM	1	4	TN	0.5429	-0.05198	NPOC:0.08908mg/L TN:-0.03807mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 1:45:53 PM	1	5	TN	0.000	-0.1140	NPOC:0.08908mg/L TN:-0.03807mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 2:28:47 PM	1	1	NPOC	5.270	0.04641	NPOC:0.03386mg/L TN:-0.09430mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 2:32:36 PM	1	2	NPOC	5.332	0.06147	NPOC:0.03386mg/L TN:-0.09430mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 2:36:20 PM	1	3	NPOC	5.053	-0.00630	NPOC:0.03386mg/L TN:-0.09430mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 2:39:51 PM	1	4	NPOC	4.880	-0.04832	NPOC:0.03386mg/L TN:-0.09430mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 2:43:09 PM	1	5	NPOC	4.515	-0.1370	NPOC:0.03386mg/L TN:-0.09430mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 2:28:47 PM	1	1	TN	0.1424	-0.09771	NPOC:0.03386mg/L TN:-0.09430mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 2:32:36 PM	1	2	TN	0.2189	-0.08897	NPOC:0.03386mg/L TN:-0.09430mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_TN10.2025_08_25_14_23_06.cal	1.00		9/29/2025 2:36:20 PM	1	3	TN	0.1556	-0.09620	NPOC:0.03386mg/L TN:-0.09430mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 2:51:39 PM	1	1	NPOC	4.527	-0.1341	NPOC:-0.1251mg/L TN:-0.07135mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\Watershed_NPOC60_TN10.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2025_08_25_11_15_36.cal	1.00		9/29/2025 2:56:39 PM	1	2	NPOC	5.086	0.00172	NPOC:-0.1251mg/L TN:-0.07135mg/L	1	50	
