Project,Plot,Sample_ID,Volume_mL,Vial_ID,sample_location,Analyte,Evacuation_date_YYYMMDD,Collection_Date_YYYYMMDD,Collection_Start_Time_24hrs,Collection_End_Time_24hrs,EST_EDT,Notes
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_CDOM_20250711,9,C_H6_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1048,1224,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_H6_15cm_ISO_20250711,2,C_H6_ISO_20250711,SERC,Isotopes,20250708,20250711,1048,1224,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_SO4_20250711,5,C_I5_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1044,1236,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_FE_20250711,6,C_I5_FE_20250711,SERC,Fe,20250708,20250711,1044,1236,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_DOC_20250711,20,C_I5_DOC_20250711,SERC,DOC,20250708,20250711,1044,1236,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_NUTR_20250711,14,C_I5_NUTR_20250711,SERC,NUTR,20250708,20250711,1044,1236,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_CDOM_20250711,9,C_I5_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1044,1236,EDT,
COMPASS: TEMPEST,Control,TMP_C_PW_I5_15cm_ISO_20250711,2,C_I5_ISO_20250711,SERC,Isotopes,20250708,20250711,1044,1236,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_B4_15cm_SO4_20250711,5,SW_B4_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1224,738,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_B4_15cm_FE_20250711,6,SW_B4_FE_20250711,SERC,Fe,20250708,20250711,1224,738,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_B4_15cm_DOC_20250711,20,SW_B4_DOC_20250711,SERC,DOC,20250708,20250711,1224,738,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_B4_15cm_NUTR_20250711,14,SW_B4_NUTR_20250711,SERC,NUTR,20250708,20250711,1224,738,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_B4_15cm_CDOM_20250711,15,SW_B4_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1224,738,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_B4_15cm_ISO_20250711,2,SW_B4_ISO_20250711,SERC,Isotopes,20250708,20250711,1224,738,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_C3_15cm_SO4_20250711,5,SW_C3_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1218,750,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_C3_15cm_FE_20250711,6,SW_C3_FE_20250711,SERC,Fe,20250708,20250711,1218,750,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_C3_15cm_DOC_20250711,10,SW_C3_DOC_20250711,SERC,DOC,20250708,20250711,1218,750,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_D5_15cm_SO4_20250711,5,SW_D5_SO4_20250711,SERC,SO4/Cl/H2S,20250708,20250711,1228,801,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_D5_15cm_FE_20250711,6,SW_D5_FE_20250711,SERC,Fe,20250708,20250711,1228,801,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_D5_15cm_DOC_20250711,20,SW_D5_DOC_20250711,SERC,DOC,20250708,20250711,1228,801,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_D5_15cm_NUTR_20250711,14,SW_D5_NUTR_20250711,SERC,NUTR,20250708,20250711,1228,801,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_D5_15cm_CDOM_20250711,15,SW_D5_CDOM_20250711,SEQUIM,CDOM,20250708,20250711,1228,801,EDT,
COMPASS: TEMPEST,Saltwater,TMP_SW_PW_D5_15cm_ISO_20250711,2,SW_D5_ISO_20250711,SERC,Isotopes,20250708,20250711,1228,801,EDT,
