Event,plot,grid,collection_datetime,sample_name,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU,evacuation_date
TMP,Freshwater,D5,2023-06-06T20:50:00Z,TMP_FW_D5_20230606,0.014324,0.99899,0.018441,0.99979,0.77679,5.542,1.5236,0.93356,0.56405,0.57323,0.20693,0.20103,0.20103,0.048617,0.037338,0.015127,0.0093335,0.85107,1.4677,0.20042,0.092748,0.73022,0.66546,2023-06-05
TMP,Freshwater,D5,2023-06-08T19:55:00Z,TMP_FW_D5_20230608,0.014334,0.99875,0.01878,0.99971,0.76328,5.6145,1.5323,0.94238,0.56679,0.57396,0.19471,0.18901,0.18901,0.045209,0.034679,0.013789,0.0086955,0.83659,1.4572,0.18062,0.076316,0.71596,0.65154,2023-06-07
TMP,Freshwater,D5,2023-06-12T13:44:00Z,TMP_FW_D5_20230612,0.014357,0.99909,0.018699,0.99973,0.76782,5.5821,1.5224,0.93634,0.55649,0.56598,0.24883,0.24168,0.24168,0.058035,0.044577,0.017846,0.01122,1.0333,1.7771,0.2419,0.099301,0.87786,0.80065,2023-06-08
TMP,Freshwater,D5,2023-06-14T19:13:00Z,TMP_FW_D5_20230614,0.014552,0.99893,0.018756,0.99971,0.77582,5.6836,1.5093,0.94011,0.54257,0.55019,0.27541,0.2671,0.2671,0.063236,0.048457,0.019326,0.01193,1.1509,2.0089,0.25724,0.1192,0.99091,0.87409,2023-06-12
TMP,Freshwater,D5,2023-06-27T15:49:00Z,TMP_FW_D5_20230627,0.014647,0.99877,0.018949,0.99971,0.77294,5.8677,1.5443,0.93555,0.58085,0.59141,0.35308,0.34204,0.34204,0.078732,0.060174,0.023707,0.014207,1.39,2.3727,0.31988,0.15364,1.1536,1.1065,2023-06-23
TMP,Freshwater,D5,2023-07-10T14:55:00Z,TMP_FW_D5_20230710,0.01453,0.99921,0.018883,0.99973,0.7695,5.6926,1.527,0.94216,0.56676,0.57235,0.40875,0.39673,0.39673,0.093777,0.071803,0.028421,0.017422,1.5932,2.7721,0.367,0.16724,1.3371,1.2597,2023-07-07
TMP,Freshwater,D5,2023-06-07T22:05:00Z,TMP_FW_D5_20230607_1600,0.014265,0.99887,0.01848,0.99974,0.77192,5.5276,1.5226,0.93649,0.55764,0.56771,0.20093,0.19527,0.19527,0.047211,0.03635,0.014711,0.0092337,0.86995,1.5022,0.20146,0.092868,0.74046,0.67172,2023-06-07
TMP,Freshwater,D5,2023-06-07T13:21:00Z,TMP_FW_D5_20230607_1600,0.014265,0.99887,0.01848,0.99974,0.77192,5.5276,1.5226,0.93649,0.55764,0.56771,0.20093,0.19527,0.19527,0.047211,0.03635,0.014711,0.0092337,0.86995,1.5022,0.20146,0.092868,0.74046,0.67172,2023-06-06
TMP,Freshwater,D5,2023-06-07T22:05:00Z,TMP_FW_D5_20230607_0800,0.01419,0.99927,0.018576,0.9997,0.76389,5.534,1.53,0.93225,0.55506,0.56275,0.24151,0.23467,0.23467,0.056806,0.043641,0.017479,0.010728,0.98206,1.6959,0.24203,0.11283,0.84163,0.76874,2023-06-07
TMP,Freshwater,D5,2023-06-07T13:21:00Z,TMP_FW_D5_20230607_0800,0.01419,0.99927,0.018576,0.9997,0.76389,5.534,1.53,0.93225,0.55506,0.56275,0.24151,0.23467,0.23467,0.056806,0.043641,0.017479,0.010728,0.98206,1.6959,0.24203,0.11283,0.84163,0.76874,2023-06-06
TMP,Freshwater,D5,2023-06-03T19:52:00Z,TMP_FW_D5_20230603,0.014752,0.99894,0.019944,0.99951,0.73964,5.8882,1.5124,0.94117,0.54106,0.55591,0.31882,0.30908,0.30908,0.07147,0.054145,0.020094,0.011572,1.2283,2.1307,0.26219,0.12304,1.0499,0.95713,2023-05-31
TMP,Freshwater,E3,2023-06-27T15:30:00Z,TMP_FW_E3_20230627,0.015397,0.99755,0.019993,0.99981,0.77012,6.3956,1.5863,0.92769,0.60416,0.6129,0.19199,0.18595,0.18595,0.039943,0.030018,0.01137,0.0068307,0.91682,1.514,0.24557,0.1271,0.82524,0.64825,2023-06-23
TMP,Freshwater,F4,2023-06-06T21:16:00Z,TMP_FW_F4_20230606,0.013854,0.99932,0.017803,0.9999,0.77816,5.2724,1.506,0.92724,0.553,0.56312,0.20852,0.20259,0.20259,0.051182,0.039549,0.016493,0.010329,0.84446,1.4412,0.21687,0.12757,0.73861,0.64184,2023-06-05
TMP,Freshwater,F4,2023-06-08T20:32:00Z,TMP_FW_F4_20230608,0.013372,0.99942,0.0173,0.99989,0.77294,5.0373,1.48,0.92805,0.54252,0.55366,0.22453,0.21836,0.21836,0.057216,0.044574,0.019291,0.012566,0.84658,1.4438,0.2229,0.11714,0.73675,0.6439,2023-06-07
TMP,Freshwater,F4,2023-06-27T15:17:00Z,TMP_FW_F4_20230627,0.014081,0.99919,0.018166,0.99984,0.77512,5.443,1.5302,0.9308,0.57785,0.5958,0.35538,0.34497,0.34497,0.084787,0.06529,0.026816,0.016503,1.4045,2.3654,0.37411,0.1986,1.2221,1.0637,2023-06-23
