Event,plot,grid,collection_datetime,sample_name,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX,Abs_250nm,Abs_254nm,Abs_280nm,Abs_350nm,Abs_365nm,Abs_412nm,Abs_440nm,C_RSU,A_RSU,T_RSU,B_RSU,M_RSU,FDOM_RSU,evacuation_date
TMP,Freshwater,POOL,2022-06-22T20:14:00Z,TMP_FW_POOL_T2,0.013872,0.99902,0.017781,0.99985,0.78018,5.2704,1.4875,0.93036,0.55697,0.5626,0.2106,0.20464,0.20464,0.051635,0.039959,0.016767,0.010485,0.8947,1.5148,0.2344,0.13718,0.79688,0.67525,2022-06-22
TMP,Control,POOL,2022-06-24T16:00:00Z,TMP_C_POOL_T4,0.013998,0.9989,0.018661,0.99981,0.75013,5.341,1.5317,0.90834,0.55435,0.5598,0.5582,0.54371,0.54371,0.1365,0.10451,0.041973,0.025693,1.9401,2.9157,0.47757,0.29961,1.6304,1.461,2022-06-23
TMP,Estuarine-water,POOL,2022-06-23T13:41:00Z,TMP_SW_POOL_T3,0.017262,0.99667,0.0207,0.99976,0.83392,7.7483,1.8218,0.68376,0.90665,0.92295,0.12195,0.11752,0.11752,0.021152,0.015739,0.0056344,0.0033295,0.73768,1.0593,0.43031,0.34718,0.6053,0.4922,2022-06-22
TMP,Control,POOL,2022-06-13T15:59:00Z,TMP_C_POOL_20220613,0.014568,0.99876,0.01944,0.99979,0.74939,5.6943,1.5611,0.92982,0.56044,0.57154,0.50279,0.48918,0.48918,0.11653,0.088297,0.034234,0.0207,1.8358,2.8459,0.46547,0.23941,1.5664,1.3827,2022-06-13
TMP,Estuarine-water,POOL,2022-06-13T15:59:00Z,TMP_SW_POOL_20220613,0.013598,0.99928,0.018536,0.99984,0.73363,5.3409,1.5038,0.93188,0.5324,0.5398,0.63137,0.61442,0.61442,0.15437,0.11821,0.047847,0.029488,1.9341,3.2013,0.46971,0.32744,1.5978,1.5201,2022-06-13
TMP,Control,POOL,2022-09-09T15:59:00Z,TMP_C_POOL_20220909,0.01447,0.99937,0.019337,0.99977,0.7483,5.5105,1.5622,0.92098,0.54161,0.55284,0.59739,0.58087,0.58087,0.14263,0.10841,0.042298,0.025599,2.1534,3.2725,0.49782,0.27023,1.7824,1.5936,2022-09-09
TMP,Control,POOL,2022-08-08T15:59:00Z,TMP_C_POOL_20220808,0.014784,0.99912,0.020818,0.99954,0.71014,5.9376,1.5825,0.92466,0.56378,0.57358,0.49235,0.47889,0.47889,0.11137,0.082922,0.02905,0.014444,1.8657,2.8964,0.45669,0.23989,1.56,1.4082,2022-08-05
TMP,Control,POOL,2022-07-18T15:59:00Z,TMP_C_POOL_20220718,0.014332,0.99907,0.018939,0.99976,0.75674,5.4521,1.5649,0.92379,0.5513,0.56815,0.47148,0.45891,0.45891,0.11324,0.086477,0.034248,0.020419,1.6465,2.4878,0.4171,0.23519,1.3825,1.2498,2022-07-14
TMP,Control,POOL,2022-07-21T15:59:00Z,TMP_C_POOL_20220721,0.014885,0.99925,0.019947,0.99971,0.74625,5.8273,1.5691,0.92441,0.56748,0.57333,0.49264,0.47916,0.47916,0.1121,0.08454,0.031768,0.018282,1.9048,2.9922,0.48849,0.29656,1.6277,1.4204,2022-07-18
TMP,Freshwater,POOL,2022-09-09T15:59:00Z,TMP_FW_POOL_20220909,0.014113,0.99966,0.017547,0.99992,0.80432,5.3222,1.5116,0.92609,0.54536,0.55343,0.54459,0.52867,0.52867,0.13215,0.10232,0.043764,0.02784,2.0308,3.432,0.57046,0.33366,1.7867,1.5453,2022-09-09
TMP,Freshwater,POOL,2022-08-08T15:59:00Z,TMP_FW_POOL_20220808,0.014563,0.99917,0.020013,0.99969,0.72766,5.9317,1.5489,0.92385,0.57317,0.58796,0.36907,0.35844,0.35844,0.083129,0.06222,0.022732,0.011479,1.5209,2.5432,0.42176,0.24504,1.3256,1.1547,2022-08-05
TMP,Freshwater,POOL,2022-07-18T15:59:00Z,TMP_FW_POOL_20220718,0.014427,0.99898,0.019805,0.99968,0.72844,5.7678,1.5496,0.92274,0.56244,0.5716,0.32247,0.31326,0.31326,0.073998,0.055909,0.020993,0.011833,1.293,2.0715,0.33084,0.18368,1.1181,0.97616,2022-07-14
TMP,Freshwater,POOL,2022-07-21T15:59:00Z,TMP_FW_POOL_20220721,0.014977,0.99944,0.018907,0.99984,0.79213,5.8465,1.5197,0.898,0.56114,0.57389,0.36178,0.35021,0.35021,0.08126,0.061879,0.024601,0.014442,1.5447,2.6275,0.48046,0.34011,1.3746,1.1798,2022-07-18
TMP,Estuarine-water,POOL,2022-09-09T15:59:00Z,TMP_SW_POOL_20220909,0.012102,0.99941,0.015644,0.99996,0.77359,4.3508,1.4026,0.94636,0.48122,0.4976,2.578,2.5151,2.5151,0.74672,0.59253,0.27782,0.18682000000000001,5.0134,8.7307,1.1595,0.44782,4.0373,4.0942,2022-09-09
TMP,Estuarine-water,POOL,2022-08-08T15:59:00Z,TMP_SW_POOL_20220808,0.012459,0.99927,0.018333,0.9998,0.67963,5.0054,1.446,0.9364,0.51606,0.53271,1.4375,1.4006,1.4006,0.37644,0.28719,0.11473,0.062187,3.5132,6.1542,0.79447,0.43594,2.879,2.8252,2022-08-05
TMP,Estuarine-water,POOL,2022-07-18T15:59:00Z,TMP_SW_POOL_20220718,0.012748,0.99925,0.015947,0.99998,0.79937,4.6826,1.6191,0.87812,0.71078,0.71842,0.52296,0.50955,0.50955,0.14165,0.11168,0.051959,0.035011,1.7063,2.7166,0.62183,0.61658,1.3924,1.2986,2022-07-14
TMP,Estuarine-water,POOL,2022-07-21T15:59:00Z,TMP_SW_POOL_20220721,0.011893,0.99947,0.015659,0.99988,0.75953,4.2467,1.359,0.95526,0.45461,0.4726,2.5133,2.4575,2.4575,0.74319,0.59182,0.27518,0.18159,5.3026,9.4025,0.98878,0.48684,4.0923,4.4608,2022-07-18
TMP,Control,POOL,2022-10-19T15:59:00Z,TMP_C_POOL_20221019-20221024,0.014632,0.99913,0.018195,0.99991,0.80417,5.4903,1.578,0.89525,0.55588,0.56154,0.44063,0.42777,0.42777,0.10442,0.080258,0.033465,0.020954,1.4982,2.2899,0.47618,0.38403,1.2849,1.1299,2022-10-17
TMP,Control,POOL,2022-10-19T15:59:00Z,TMP_C_POOL_20221019-20221024,0.014632,0.99913,0.018195,0.99991,0.80417,5.4903,1.578,0.89525,0.55588,0.56154,0.44063,0.42777,0.42777,0.10442,0.080258,0.033465,0.020954,1.4982,2.2899,0.47618,0.38403,1.2849,1.1299,2022-10-21
TMP,Control,POOL,2022-11-28T16:59:00Z,TMP_C_POOL_20221128-20221201,0.01476,0.99915,0.018989,0.99981,0.77731,5.6407,1.5858,0.92883,0.56854,0.58594,0.47354,0.46022,0.46022,0.11011,0.083951,0.033226,0.02031,1.6453,2.5541,0.41651,0.23516,1.3469,1.2752,2022-11-25
TMP,Freshwater,POOL,2022-10-19T15:59:00Z,TMP_FW_POOL_20221019-20221024,0.014515,0.99952,0.018823,0.99974,0.77113,5.6256,1.5236,0.92571,0.55947,0.57226,0.45706,0.44289,0.44289,0.10602,0.081248,0.032436,0.019864,1.8107,3.0941,0.46093,0.28972,1.6095,1.3734,2022-10-17
TMP,Freshwater,POOL,2022-10-19T15:59:00Z,TMP_FW_POOL_20221019-20221024,0.014515,0.99952,0.018823,0.99974,0.77113,5.6256,1.5236,0.92571,0.55947,0.57226,0.45706,0.44289,0.44289,0.10602,0.081248,0.032436,0.019864,1.8107,3.0941,0.46093,0.28972,1.6095,1.3734,2022-10-21
TMP,Freshwater,POOL,2022-11-28T16:59:00Z,TMP_FW_POOL_20221128-20221201,0.014155,0.99948,0.017207,0.99996,0.82264,5.2957,1.5156,0.92799,0.55749,0.56599,0.45696,0.44319,0.44319,0.1112,0.086289,0.037685,0.024128,1.5621,2.6331,0.4021,0.26442,1.358,1.1992,2022-11-25
TMP,Estuarine-water,POOL,2022-10-19T15:59:00Z,TMP_SW_POOL_20221019,0.012287,0.99929,0.016674,0.9999,0.73686,4.626,1.4376,0.94236,0.51729,0.52686,1.872,1.8239,1.8239,0.51535,0.40467,0.18013,0.11802,4.233,7.5242000000000004,0.91746,0.4501,3.4816,3.446,2022-10-17
TMP,Estuarine-water,POOL,2022-10-19T15:59:00Z,TMP_SW_POOL_20221019,0.012287,0.99929,0.016674,0.9999,0.73686,4.626,1.4376,0.94236,0.51729,0.52686,1.872,1.8239,1.8239,0.51535,0.40467,0.18013,0.11802,4.233,7.5242000000000004,0.91746,0.4501,3.4816,3.446,2022-10-17
TMP,Estuarine-water,POOL,2022-11-28T16:59:00Z,TMP_SW_POOL_20221128-20221201,0.011976,0.99927,0.016013,0.99996,0.74788,4.4338,1.3672,0.94404,0.46866,0.48528,2.182,2.1281,2.1281,0.62315,0.49214,0.22735,0.15287,4.0718,7.2934,0.81415,0.40629,3.229,3.3521,2022-11-25
TMP,Freshwater,POOL,2022-06-20T14:15:00Z,TMP_FW_POOL_T0,0.0146605,0.99916,0.01884,0.9998199999999999,0.77815,5.7539,1.5497,0.932005,0.588545,0.59528,0.417535,0.40536,0.40536,0.0951275,0.07259650000000001,0.0289255,0.017479500000000002,2.0269500000000003,3.5673,0.522285,0.25199,1.83755,1.57675,2022-06-18
TMP,Estuarine-water,POOL,2022-06-24T16:15:00Z,TMP_SW_POOL_T4,0.01396,0.998165,0.0168405,0.9996,0.83538,5.2451,1.6282,0.798755,0.75656,0.77711,0.230235,0.22372,0.22372,0.055388,0.043067,0.0184365,0.01203075,0.946345,1.4823899999999999,0.37968,0.325455,0.828415,0.67718,2022-06-23
