date,site,plot,grid,sample_name,evacuation_datetime,collection_datetime,tz,doc_mg_l,tdn_mg_l,doc_flag,tdn_flag
2022-06-13,TMP,Estuarine-water,H6,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-13T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Freshwater,C6,TMP_FW_PW_C6_15cm_20220615,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,8.43,0.4,NA,NA
2022-06-15,TMP,Control,E3,TMP_C_PW_E3_15cm_20220615,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,10.3,0.45,NA,NA
2022-06-15,TMP,Estuarine-water,H3,TMP_SW_PW_H3_15cm_20220615,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,20.06,0.06,NA,blank is ≥ 25% of sample value
2022-06-15,TMP,Control,H6,TMP_C_PW_H6_15cm_20220615,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,17.41,0.66,NA,NA
2022-06-15,TMP,Control,F6,TMP_C_SW_F6_15cm_20220615,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,13.77,0.57,NA,NA
2022-06-15,TMP,Freshwater,H3,TMP_FW_PW_H3_15cm_20220615,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,5.06,0.28,NA,blank is ≥ 25% of sample value
2022-06-15,TMP,Control,H3,TMP_C_PW_H3_15cm_20220615,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,21.45,0.59,NA,NA
2022-06-15,TMP,Estuarine-water,C6,TMP_SW_PW_C6_15cm_20220615,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,21.12,0.97,NA,NA
2022-06-15,TMP,Estuarine-water,F6,TMP_SW_PW_F6_15cm_20220615,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,13.87,0.88,NA,NA
2022-06-15,TMP,Control,B4,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Control,C3,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Control,C6,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Control,D5,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Control,F4,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Control,I5,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Freshwater,B4,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Freshwater,C3,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Freshwater,D5,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Freshwater,E3,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Freshwater,F4,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Freshwater,F6,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Freshwater,H6,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Freshwater,I5,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Estuarine-water,B4,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Estuarine-water,C3,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Estuarine-water,D5,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Estuarine-water,E3,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Estuarine-water,F4,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Estuarine-water,H6,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-15,TMP,Estuarine-water,I5,Lysimeter Empty,2022-06-09T15:59:00Z,2022-06-15T15:59:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Freshwater,H6,TMP_FW_H6_T0,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,14.41,0.54,NA,NA
2022-06-20,TMP,Freshwater,C6,TMP_FW_C6_T0,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,8.27,0.36,NA,blank is ≥ 25% of sample value
2022-06-20,TMP,Freshwater,I5,TMP_FW_I5_T0,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,15.67,0.7,NA,NA
2022-06-20,TMP,Control,B4,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Control,C3,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Control,C6,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Control,D5,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Control,E3,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Control,F4,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Control,F6,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Control,H3,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Control,H6,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Control,I5,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Freshwater,B4,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Freshwater,C3,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Freshwater,D5,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Freshwater,E3,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Freshwater,F4,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Freshwater,F6,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Freshwater,H3,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Estuarine-water,B4,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Estuarine-water,C3,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Estuarine-water,C6,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Estuarine-water,D5,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Estuarine-water,E3,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Estuarine-water,F4,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Estuarine-water,F6,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Estuarine-water,H3,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Estuarine-water,H6,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-20,TMP,Estuarine-water,I5,Lysimeter Empty,2022-06-18T15:59:00Z,2022-06-20T14:15:00Z,EDT,NA,NA,NA,NA
2022-06-22,TMP,Estuarine-water,C3,TMP_SW_C3_T1,2022-06-22T15:59:00Z,2022-06-22T16:47:00Z,EDT,15.5,0.93,NA,NA
2022-06-22,TMP,Estuarine-water,H6,TMP_SW_H6_T1,2022-06-22T15:59:00Z,2022-06-22T16:47:00Z,EDT,7.25,0.37,NA,blank is ≥ 25% of sample value
2022-06-22,TMP,Estuarine-water,B4,TMP_SW_B4_T1,2022-06-22T15:59:00Z,2022-06-22T16:47:00Z,EDT,11.37,0.48,NA,NA
2022-06-22,TMP,Freshwater,F4,TMP_FW_F4_T1,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,EDT,10.45,0.49,NA,NA
2022-06-22,TMP,Estuarine-water,E3,TMP_SW_E3_T1,2022-06-22T15:59:00Z,2022-06-22T16:47:00Z,EDT,4.9,0.44,NA,NA
2022-06-22,TMP,Freshwater,I5,TMP_FW_I5_T1,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,EDT,26.89,0.42,NA,NA
2022-06-22,TMP,Freshwater,C6,TMP_FW_C6_T1,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,EDT,1.27,0.08,blank is ≥ 25% of sample value,blank is ≥ 25% of sample value
2022-06-22,TMP,Freshwater,C3,TMP_FW_C3_T1,2022-06-22T15:59:00Z,2022-06-22T16:45:00Z,EDT,5.54,0.18,NA,blank is ≥ 25% of sample value
