[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	6/21/2024 10:47:37 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 9:03:36 AM	1	2	NPOC	3.030	1.310	NPOC:1.169mg/L TN:-10.65mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 9:06:46 AM	1	3	NPOC	4.109	1.553	NPOC:1.169mg/L TN:-10.65mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 9:10:23 AM	1	4	NPOC	2.149	1.111	NPOC:1.169mg/L TN:-10.65mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\Watershed_NPOC60B.2024_06_13_18_35_37.cal	1.00		6/18/2024 9:13:16 AM	1	5	NPOC	2.035	1.086	NPOC:1.169mg/L TN:-10.65mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 9:00:38 AM	1	1	TN	0.000	-19.96	NPOC:1.169mg/L TN:-10.65mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 9:03:36 AM	1	2	TN	0.3264	7.973	NPOC:1.169mg/L TN:-10.65mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 9:06:46 AM	1	3	TN	0.000	-19.96	NPOC:1.169mg/L TN:-10.65mg/L	0	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 9:10:23 AM	1	4	TN	1.478	106.5	NPOC:1.169mg/L TN:-10.65mg/L	1	50	
Unknown	NPOC/TN	DI	Untitled	C:\TOC-L\Methods\BGC_NPOC_TN_2024_9ml.met	C:\TOC-L\CalCurves\BGC_TN3_20240601.2024_06_03_05_07_30.cal	1.00		6/18/2024 9:13:16 AM	1	5	TN	0.6714	37.50	NPOC:1.169mg/L TN:-10.65mg/L	1	50	
Standard	NPOC	CalCurve_NPOC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20240618a.2024_06_18_09_13_17.cal		1.00		6/18/2024 9:21:21 AM	1	1	NPOC	2.334	0.000	 	0	50	
