[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	6/21/2024 10:47:48 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	TMP_FW_I5_20240617	Untitled					8.705	0.6735	mg/L	6	6/20/2024 3:29:40 AM	
Unknown	NPOC/TN	TMP_SW_SOURCE_Morning_20240611	Untitled					4.668	0.3559	mg/L	7	6/20/2024 3:53:33 AM	
Unknown	NPOC/TN	TMP_SW_SOURCE_Midday_20240611	Untitled					4.873	0.3409	mg/L	8	6/20/2024 4:12:16 AM	
Unknown	NPOC/TN	TMP_SW_SOURCE_Afternoon_20240611	Untitled					5.117	0.3878	mg/L	9	6/20/2024 4:38:33 AM	
Unknown	NPOC/TN	TMP_SW_SOURCE_Morning_20240612	Untitled					5.090	0.3870	mg/L	10	6/20/2024 5:00:41 AM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					49.81	2.025	mg/L	11	6/20/2024 5:26:15 AM	
Unknown	NPOC/TN	DI	Untitled					0.7562	0.00993	mg/L	0	6/20/2024 5:44:15 AM	
Unknown	NPOC/TN	TMP_SW_SOURCE_Midday_20240612	Untitled					4.955	0.4316	mg/L	12	6/20/2024 6:08:07 AM	
Unknown	NPOC/TN	TMP_SW_SOURCE_Afternoon_20240612	Untitled					4.966	0.3624	mg/L	13	6/20/2024 6:27:23 AM	
Unknown	NPOC/TN	TMP_SW_SOURCE_Morning_20240613	Untitled					4.992	0.3748	mg/L	14	6/20/2024 6:52:35 AM	
Unknown	NPOC/TN	TMP_SW_SOURCE_Midday_20240613	Untitled					5.133	0.3225	mg/L	15	6/20/2024 7:14:14 AM	
Unknown	NPOC/TN	TMP_SW_SOURCE_Afternoon_202401613	Untitled					5.745	0.3301	mg/L	16	6/20/2024 7:36:48 AM	
Unknown	NPOC/TN	TMP_FW_SOURCE_Morning_20240611	Untitled					0.8408	0.1068	mg/L	17	6/20/2024 7:59:45 AM	
Unknown	NPOC/TN	TMP_FW_SOURCE_Midday_20240611	Untitled					0.7946	-0.02565	mg/L	18	6/20/2024 8:19:28 AM	
Unknown	NPOC/TN	TMP_FW_SOURCE_Afternoon_20240611	Untitled					0.7258	-0.00574	mg/L	19	6/20/2024 8:40:27 AM	
Unknown	NPOC/TN	TMP_FW_SOURCE_Morning_20240612	Untitled					0.7821	-0.00395	mg/L	20	6/20/2024 9:03:01 AM	
Unknown	NPOC/TN	TMP_FW_SOURCE_Midday_20240612	Untitled					0.5653	-0.01697	mg/L	21	6/20/2024 9:22:03 AM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					48.47	1.918	mg/L	22	6/20/2024 9:47:52 AM	
Unknown	NPOC/TN	DI	Untitled					0.5251	-0.00609	mg/L	0	6/20/2024 10:06:11 AM	
Unknown	NPOC/TN	TMP_FW_SOURCE_Afternoon_20240612	Untitled					0.7364	-0.01577	mg/L	23	6/20/2024 10:26:16 AM	
Unknown	NPOC/TN	TMP_FW_SOURCE_Morning_20240613	Untitled					0.8965	0.01293	mg/L	24	6/20/2024 10:48:29 AM	
Unknown	NPOC/TN	TMP_FW_SOURCE_Midday_20240613	Untitled					0.6947	-0.01852	mg/L	25	6/20/2024 11:05:04 AM	
Unknown	NPOC/TN	TMP_FW_SOURCE_Afternoon_20240613	Untitled					0.6873	0.02100	mg/L	26	6/20/2024 11:25:43 AM	
Unknown	NPOC/TN	TMP_ESTUARY_LT_20240611	Untitled					5.054	0.3493	mg/L	27	6/20/2024 11:49:09 AM	
Unknown	NPOC/TN	TMP_ESTUARY_HT_20240611	Untitled					4.621	0.2940	mg/L	28	6/20/2024 12:13:11 PM	
Unknown	NPOC/TN	TMP_ESTUARY_LT_20240612	Untitled					5.530	0.3982	mg/L	29	6/20/2024 12:35:20 PM	
Unknown	NPOC/TN	TMP_ESTUARY_HT_20240612	Untitled					4.642	0.3183	mg/L	30	6/20/2024 12:57:59 PM	
Unknown	NPOC/TN	TMP_ESTUARY_LT_20240613	Untitled					5.328	0.3359	mg/L	31	6/20/2024 1:20:27 PM	
Unknown	NPOC/TN	TMP_ESTUARY_HT_20240613	Untitled					4.738	0.3708	mg/L	32	6/20/2024 1:45:10 PM	
Unknown	NPOC/TN	Chk_Std_50C_2N	Untitled					48.97	2.059	mg/L	33	6/20/2024 2:12:23 PM	
Unknown	NPOC/TN	DI	Untitled					0.6172	0.01167	mg/L	0	6/20/2024 2:29:48 PM	
Standard	NPOC	CalCurve_NPOC	Untitled					100.0		mg/L	34, 35, 36, 37, 38, 39, 40, 41	6/20/2024 4:18:34 PM	
Unknown	NPOC/TN	DI	Untitled					0.5949	-0.01078	mg/L	0	6/20/2024 4:36:55 PM	
Standard	TN	CalCurve_TN	Untitled						3.000	mg/L	42, 43, 44, 45, 46, 47, 48	6/20/2024 6:17:52 PM	
Unknown	NPOC/TN	DI	Untitled					0.4672	-0.01305	mg/L	0	6/20/2024 6:36:15 PM	
Unknown	NPOC/TN	DI	Untitled					0.4871	-0.02002	mg/L	0	6/20/2024 6:57:27 PM	
Unknown	NPOC/TN	DI	Untitled					0.5048	-0.01525	mg/L	0	6/20/2024 7:14:17 PM	
Unknown	NPOC/TN	DI	Untitled					0.5157	-0.02949	mg/L	0	6/20/2024 7:28:56 PM	
Unknown	NPOC/TN	DI	Untitled					0.5531	-0.02638	mg/L	0	6/20/2024 7:46:08 PM	
Unknown	NPOC/TN	DI	Untitled					0.4882	-0.02570	mg/L	0	6/20/2024 8:03:18 PM	
Unknown	NPOC/TN	DI	Untitled					0.4632	-0.02164	mg/L	0	6/20/2024 8:20:54 PM	
