[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	4/29/2025 4:57:23 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC/TN	4.034.4.33.02	PDX CURB BDOC					0.9916	0.5375	mg/L	55	8/6/2024 3:43:32 PM	
Unknown	NPOC/TN	4.034.4.33.02	PDX CURB BDOC					1.024	0.5469	mg/L	56	8/6/2024 4:09:15 PM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.2735	0.06433	mg/L	0	8/6/2024 4:37:15 PM	
Unknown	NPOC/TN	Std Chk	PDX CURB BDOC					30.08	2.611	mg/L	57	8/6/2024 5:07:01 PM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.3408	0.06403	mg/L	0	8/6/2024 5:25:23 PM	
Unknown	NPOC/TN	4.034.4.33.03	PDX CURB BDOC					1.070	0.5130	mg/L	58	8/6/2024 5:50:56 PM	
Unknown	NPOC/TN	4.034.4.33.04	PDX CURB BDOC					1.337	0.6557	mg/L	59	8/6/2024 6:16:17 PM	
Unknown	NPOC/TN	4.034.4.33.05	PDX CURB BDOC					1.392	0.7335	mg/L	60	8/6/2024 6:45:09 PM	
Unknown	NPOC/TN	4.034.4.33.06	PDX CURB BDOC					1.434	0.6748	mg/L	61	8/6/2024 7:10:33 PM	
Unknown	NPOC/TN	4.044.4.33.01	PDX CURB BDOC					0.6513	3.721	mg/L	62	8/6/2024 7:38:18 PM	
Unknown	NPOC/TN	4.044.4.33.02	PDX CURB BDOC					0.5730	3.737	mg/L	63	8/6/2024 8:06:43 PM	
Unknown	NPOC/TN	4.044.4.33.03	PDX CURB BDOC					0.6376	3.837	mg/L	64	8/6/2024 8:35:26 PM	
Unknown	NPOC/TN	4.046.4.33.01	PDX CURB BDOC					1.580	1.683	mg/L	65	8/6/2024 8:59:00 PM	
Unknown	NPOC/TN	4.046.4.33.02	PDX CURB BDOC					1.745	1.790	mg/L	66	8/6/2024 9:28:15 PM	
Unknown	NPOC/TN	4.046.4.33.03	PDX CURB BDOC					1.495	1.663	mg/L	67	8/6/2024 9:46:41 PM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.2383	0.06491	mg/L	0	8/6/2024 10:08:24 PM	
Unknown	NPOC/TN	Std Chk	PDX CURB BDOC					29.86	2.428	mg/L	68	8/6/2024 10:27:59 PM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.3021	0.06403	mg/L	0	8/6/2024 10:50:14 PM	
Unknown	NPOC/TN	4.047.4.33.01	PDX CURB BDOC					1.536	1.471	mg/L	69	8/6/2024 11:19:55 PM	
Unknown	NPOC/TN	4.047.4.33.02	PDX CURB BDOC					1.583	1.425	mg/L	70	8/6/2024 11:47:00 PM	
Unknown	NPOC/TN	4.047.4.33.03	PDX CURB BDOC					1.694	1.582	mg/L	71	8/7/2024 12:10:30 AM	
Unknown	NPOC/TN	4.050.4.33.01	PDX CURB BDOC					1.486	1.822	mg/L	72	8/7/2024 12:39:04 AM	
Unknown	NPOC/TN	4.050.4.33.02	PDX CURB BDOC					1.346	1.841	mg/L	73	8/7/2024 1:06:43 AM	
Unknown	NPOC/TN	4.050.4.33.03	PDX CURB BDOC					1.288	1.831	mg/L	74	8/7/2024 1:33:59 AM	
Unknown	NPOC/TN	4.072.4.33.01	PDX CURB BDOC					1.642	1.805	mg/L	75	8/7/2024 1:59:41 AM	
Unknown	NPOC/TN	4.072.4.33.02	PDX CURB BDOC					1.683	1.868	mg/L	76	8/7/2024 2:29:58 AM	
Unknown	NPOC/TN	4.072.4.33.03	PDX CURB BDOC					1.708	1.849	mg/L	77	8/7/2024 2:56:30 AM	
Unknown	NPOC/TN	4.072.4.33.03 dup	PDX CURB BDOC					1.608	1.818	mg/L	78	8/7/2024 3:23:17 AM	
Unknown	NPOC/TN	DI	PDX CURB BDOC					-0.2092	0.06835	mg/L	0	8/7/2024 3:45:01 AM	
Unknown	NPOC/TN	Std Chk	PDX CURB BDOC					29.39	2.498	mg/L	79	8/7/2024 4:11:47 AM	
